"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"American Samoa","ASM","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","30","18","30","45","60","80","92","28","37","60","51","30","35","96","29","45","59","68","29","38","40","48","57","60","50","55","50.95","50.22","49.43","45","48.63","48.94","49.35","49.73","48","50.77","50","55","60","61.12","65","64.85","68","66.32","63.44","71.88","70.12","71.77","72.08","74.57","64.71","51.47","36.94","51.04","55.67","47.88","51.53","51.69","50.37","",
"Australia","AUS","Cereal production (metric tons)","AG.PRD.CREL.MT","","9149882","11143648","11812267","13001568","9684056","16585035","9873734","18905065","14250318","12904533","14840092","10781927","16997800","16367969","17767379","17448064","14417267","25274482","23343860","16402312","23703676","14186565","31068963","28602111","24942194","24001774","19899619","21891006","22375364","23045332","18755948","25158741","26821877","15490973","27102900","34662825","31279701.3","32621200","35312800","34369764","38829449.71","19531219","41131141.8","34779738","39749826","20011812","24176799","35211074","34423904.13","39137185.64","42828506.87","35422825.46","39873045.54","36275175.88","36175495.48","50253593.71","33882044.51","29989113","27435471.58","49332133","54958515.44","59607882.55","43120957.25","52350446.71","",
"Austria","AUT","Cereal production (metric tons)","AG.PRD.CREL.MT","","2274011","2305937","2229471","2349312","2019628","2648957","2934871","3046205","3406075","3070552","3545643","3318492","3787094","4014005","3704116","4277716","4203640","4628713","3982485","4826198","4356211","5026041","5075517","5353319","5551181","5108350","4964599","5359343","5009116","5289752","5044859","4322590","4206456","4435935","4451882","4494851.92","5010607.17","4772664.73","4809095.2","4494383.16","4837093.57","4762611.9","4269509.66","5323713.99","4907056.68","4467510.5","4766039.24","5756463.63","5164152.4","4866648.45","5712206.55","4883379.22","4599433.26","5720308.58","4853895.01","5701697.09","4874849.22","4787200","5399310","5649770","5316150","5205750","5235050","4880410","",
"Azerbaijan","AZE","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1325023","1136987","1024216","909592","999404","1074720.7","915652","1065306.4","1496224.24","1955915","2133184","1993208","2086640","2056186","2011622","1943652.6","2419910.7","2903361","1928779","2370823.1","2707274.3","2856572","2298047.5","2898559","2965670","2824527.1","3181818","3416764.3","3151182","3258169.4","3055969.7","3153905.6","3305280.77","",
"Burundi","BDI","Cereal production (metric tons)","AG.PRD.CREL.MT","","130000","129150","130080","148680","148278","152037","154700","164900","162233","168887","171722","155486","175827","143009","179475","181600","185500","202042","213400","216600","227000","221000","227000","224000","256000","266000","279300","291700","295900","293300","299800","306100","299700","224724","269037","272649","304757","260539","264518","254735","283645","292395","282588","290589","296951","296904","301452","297923","310262","323180","338093","257030.65","254198.46","236880.85","260287.26","468248.09","375525.86","459945.08","546926.7","602923","791465.33","957805.11","788933.48","789542.22","",
"Belgium","BEL","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2513100","2358600","2639300","2560990","2931988","2786575","2684227","2718733","3113270","3255409","3041408","2939102","2957908","3097497","3162852","3163733","2287774","2764392","2431020","2814390","2565850","2452580","2779540","2754890","","",
"Benin","BEN","Cereal production (metric tons)","AG.PRD.CREL.MT","","290434","286798","278549","294532","286772","262408","313677","291772","274553","284987","238061","271788","344166","335444","298579","277970","326072","417890","389148","345952","361635","352337","351157","483030","535415","496618","400650","556977","565013","545898","584864","609496","625249","645357","734332","714355","876553","867173","974484","993383","942790","1086000","1042770","1108856","1151853","1095952","1158679","1267588","1508142","1333435.72","1544233","1576090.51","1791887.87","1714040.4","1643227.33","1814288.87","1897503.59","2320755.59","2177782.78","2203105.09","2308912.73","2297372.9","2737481.16","2905684.72","",
"Burkina Faso","BFA","Cereal production (metric tons)","AG.PRD.CREL.MT","","726079","895048","918153","1010600","953407","1000000","1035155","1084696","1037041","1065118","883608","880284","831365","1086580","1254319","995823","1109843","1169854","1180823","1047988","1270034","1209967","1119418","1089368","1583270","1889857","1637101","2100562","1951671","1517900","2454900","2478600","2527355","2232037","2307988","2481805","2013552","2656756","2699886","2279246.55","3109092","3119050","3564281","2901973","3649533","3680674","3108811","4358518","3626638","4560546","3666404","4898544","4869722","4469300","4189665","4567066","4063197","5180701.81","4939629.91","5179104","4661140","5179059.02","5147923.87","5209425.36","",
"Bangladesh","BGD","Cereal production (metric tons)","AG.PRD.CREL.MT","","14523696","13408128","16042664","15842004","15852140","14464297","16876448","17160028","18187398","16905215","15088878","15323537","18021512","17105414","19322564","17908126","19772481","19984399","19658591","21698327","21591389","22339648","22990185","23256274","24134965","24266331","24304321","24449929","27886213","27746673","27794901.02","28985211.13","28036088.67","26816541.51","26813665.86","29405371.73","28801743.02","28105118.76","35864389.14","38167129.16","38446503.62","38848665.02","40020196.63","37762193.91","40956600.55","40767634.59","40865220.49","49114490.97","49184112.23","51282598.09","52627376.6","53030386.64","54019096.56","55227209.27","56084460.15","55905547.11","56427230.96","59015234.3","59383344.03","61113280.33","61986999.44","63136360.42","66313385.01","66347850.85","",
