Domain,Area,Element,Item,Year,Value
"Crops and livestock products","Ghana","Yield","Coconuts, in shell","2018","5660.3"
"Crops and livestock products","Ghana","Production","Coconuts, in shell","2018","474000"
"Crops and livestock products","Ghana","Area harvested","Coconuts, in shell","2019","80438"
"Crops and livestock products","Ghana","Yield","Coconuts, in shell","2019","6027"
"Crops and livestock products","Ghana","Production","Coconuts, in shell","2019","484800"
"Crops and livestock products","Ghana","Area harvested","Coconuts, in shell","2020","77000"
"Crops and livestock products","Ghana","Yield","Coconuts, in shell","2020","6420.8"
"Crops and livestock products","Ghana","Production","Coconuts, in shell","2020","494400"
"Crops and livestock products","Ghana","Area harvested","Coconuts, in shell","2021","77000"
"Crops and livestock products","Ghana","Yield","Coconuts, in shell","2021","6415.6"
"Crops and livestock products","Ghana","Production","Coconuts, in shell","2021","494000"
"Crops and livestock products","Ghana","Area harvested","Coconuts, in shell","2022","78000"
"Crops and livestock products","Ghana","Yield","Coconuts, in shell","2022","6479.5"
"Crops and livestock products","Ghana","Production","Coconuts, in shell","2022","505400"
"Crops and livestock products","Ghana","Area harvested","Coconuts, in shell","2023","77000"
"Crops and livestock products","Ghana","Yield","Coconuts, in shell","2023","6906.2"
"Crops and livestock products","Ghana","Production","Coconuts, in shell","2023","531775"
"Crops and livestock products","Ghana","Area harvested","Coconuts, in shell","2024","76051"
"Crops and livestock products","Ghana","Yield","Coconuts, in shell","2024","7163.3"
"Crops and livestock products","Ghana","Production","Coconuts, in shell","2024","544773.69"
"Crops and livestock products","Ghana","Area harvested","Coffee, green","2012","400"
"Crops and livestock products","Ghana","Yield","Coffee, green","2012","1500"
"Crops and livestock products","Ghana","Production","Coffee, green","2012","600"
"Crops and livestock products","Ghana","Area harvested","Coffee, green","2013","450"
"Crops and livestock products","Ghana","Yield","Coffee, green","2013","1551.1"
"Crops and livestock products","Ghana","Production","Coffee, green","2013","698"
"Crops and livestock products","Ghana","Area harvested","Coffee, green","2014","460"
"Crops and livestock products","Ghana","Yield","Coffee, green","2014","1600"
"Crops and livestock products","Ghana","Production","Coffee, green","2014","736"
"Crops and livestock products","Ghana","Area harvested","Coffee, green","2015","460"
"Crops and livestock products","Ghana","Yield","Coffee, green","2015","1600"
"Crops and livestock products","Ghana","Production","Coffee, green","2015","736"
"Crops and livestock products","Ghana","Area harvested","Coffee, green","2016","460"
"Crops and livestock products","Ghana","Yield","Coffee, green","2016","1600"
"Crops and livestock products","Ghana","Production","Coffee, green","2016","736"
"Crops and livestock products","Ghana","Area harvested","Coffee, green","2017","460"
"Crops and livestock products","Ghana","Yield","Coffee, green","2017","1600"
"Crops and livestock products","Ghana","Production","Coffee, green","2017","736"
"Crops and livestock products","Ghana","Area harvested","Coffee, green","2018","460"
"Crops and livestock products","Ghana","Yield","Coffee, green","2018","1600"
"Crops and livestock products","Ghana","Production","Coffee, green","2018","736"
"Crops and livestock products","Ghana","Area harvested","Coffee, green","2019","460"
"Crops and livestock products","Ghana","Yield","Coffee, green","2019","1600"
"Crops and livestock products","Ghana","Production","Coffee, green","2019","736"
"Crops and livestock products","Ghana","Area harvested","Coffee, green","2020","460"
"Crops and livestock products","Ghana","Yield","Coffee, green","2020","1600"
"Crops and livestock products","Ghana","Production","Coffee, green","2020","736"
"Crops and livestock products","Ghana","Area harvested","Coffee, green","2021","460"
"Crops and livestock products","Ghana","Yield","Coffee, green","2021","1600"
"Crops and livestock products","Ghana","Production","Coffee, green","2021","736"
"Crops and livestock products","Ghana","Area harvested","Coffee, green","2022","460"
"Crops and livestock products","Ghana","Yield","Coffee, green","2022","1600"
"Crops and livestock products","Ghana","Production","Coffee, green","2022","736"
"Crops and livestock products","Ghana","Area harvested","Coffee, green","2023","460"
"Crops and livestock products","Ghana","Yield","Coffee, green","2023","1600"
"Crops and livestock products","Ghana","Production","Coffee, green","2023","736"
"Crops and livestock products","Ghana","Area harvested","Coffee, green","2024","460"
"Crops and livestock products","Ghana","Yield","Coffee, green","2024","1600"
"Crops and livestock products","Ghana","Production","Coffee, green","2024","736"
"Crops and livestock products","Ghana","Production","Coir, raw","2012","39504.71"
"Crops and livestock products","Ghana","Production","Coir, raw","2013","39890.54"
"Crops and livestock products","Ghana","Production","Coir, raw","2014","39866.76"
"Crops and livestock products","Ghana","Production","Coir, raw","2015","39985.32"
"Crops and livestock products","Ghana","Production","Coir, raw","2016","39762.85"
"Crops and livestock products","Ghana","Production","Coir, raw","2017","39819.2"
"Crops and livestock products","Ghana","Production","Coir, raw","2018","39664.7"
"Crops and livestock products","Ghana","Production","Coir, raw","2019","39577.24"
"Crops and livestock products","Ghana","Production","Coir, raw","2020","39698.01"
"Crops and livestock products","Ghana","Production","Coir, raw","2021","39724.99"
"Crops and livestock products","Ghana","Production","Coir, raw","2022","39668.45"
"Crops and livestock products","Ghana","Production","Coir, raw","2023","39678.02"
"Crops and livestock products","Ghana","Production","Coir, raw","2024","39687.58"
"Crops and livestock products","Ghana","Area harvested","Cow peas, dry","2012","168800"
"Crops and livestock products","Ghana","Yield","Cow peas, dry","2012","1322.6"
"Crops and livestock products","Ghana","Production","Cow peas, dry","2012","223253"
"Crops and livestock products","Ghana","Area harvested","Cow peas, dry","2013","162000"
"Crops and livestock products","Ghana","Yield","Cow peas, dry","2013","1237"
"Crops and livestock products","Ghana","Production","Cow peas, dry","2013","200400"
"Crops and livestock products","Ghana","Area harvested","Cow peas, dry","2014","165830"
"Crops and livestock products","Ghana","Yield","Cow peas, dry","2014","1213.7"
"Crops and livestock products","Ghana","Production","Cow peas, dry","2014","201260"
"Crops and livestock products","Ghana","Area harvested","Cow peas, dry","2015","162650"
"Crops and livestock products","Ghana","Yield","Cow peas, dry","2015","1250"
"Crops and livestock products","Ghana","Production","Cow peas, dry","2015","203320"
"Crops and livestock products","Ghana","Area harvested","Cow peas, dry","2016","146660"
"Crops and livestock products","Ghana","Yield","Cow peas, dry","2016","1407.2"
"Crops and livestock products","Ghana","Production","Cow peas, dry","2016","206380"
"Crops and livestock products","Ghana","Area harvested","Cow peas, dry","2017","153910"
"Crops and livestock products","Ghana","Yield","Cow peas, dry","2017","1374"
"Crops and livestock products","Ghana","Production","Cow peas, dry","2017","211470"
"Crops and livestock products","Ghana","Area harvested","Cow peas, dry","2018","157000"
"Crops and livestock products","Ghana","Yield","Cow peas, dry","2018","1509.6"
"Crops and livestock products","Ghana","Production","Cow peas, dry","2018","237000"
"Crops and livestock products","Ghana","Area harvested","Cow peas, dry","2019","169000"
"Crops and livestock products","Ghana","Yield","Cow peas, dry","2019","1503"
"Crops and livestock products","Ghana","Production","Cow peas, dry","2019","254000"
"Crops and livestock products","Ghana","Area harvested","Cow peas, dry","2020","169000"
"Crops and livestock products","Ghana","Yield","Cow peas, dry","2020","1520.7"
"Crops and livestock products","Ghana","Production","Cow peas, dry","2020","257000"
"Crops and livestock products","Ghana","Area harvested","Cow peas, dry","2021","180000"
"Crops and livestock products","Ghana","Yield","Cow peas, dry","2021","1666.7"
"Crops and livestock products","Ghana","Production","Cow peas, dry","2021","300000"
"Crops and livestock products","Ghana","Area harvested","Cow peas, dry","2022","192573"
"Crops and livestock products","Ghana","Yield","Cow peas, dry","2022","1662"
"Crops and livestock products","Ghana","Production","Cow peas, dry","2022","320057.32"
"Crops and livestock products","Ghana","Area harvested","Cow peas, dry","2023","185376"
"Crops and livestock products","Ghana","Yield","Cow peas, dry","2023","1660"
"Crops and livestock products","Ghana","Production","Cow peas, dry","2023","307724.02"
"Crops and livestock products","Ghana","Area harvested","Cow peas, dry","2024","191625"
"Crops and livestock products","Ghana","Yield","Cow peas, dry","2024","1691.3"
"Crops and livestock products","Ghana","Production","Cow peas, dry","2024","324088.49"
"Crops and livestock products","Ghana","Area harvested","Cucumbers and gherkins","2012","10"
"Crops and livestock products","Ghana","Yield","Cucumbers and gherkins","2012","12000"
"Crops and livestock products","Ghana","Production","Cucumbers and gherkins","2012","120"
"Crops and livestock products","Ghana","Area harvested","Cucumbers and gherkins","2013","10"
"Crops and livestock products","Ghana","Yield","Cucumbers and gherkins","2013","12635.5"
"Crops and livestock products","Ghana","Production","Cucumbers and gherkins","2013","126.54"
"Crops and livestock products","Ghana","Area harvested","Cucumbers and gherkins","2014","10"
"Crops and livestock products","Ghana","Yield","Cucumbers and gherkins","2014","13000"
"Crops and livestock products","Ghana","Production","Cucumbers and gherkins","2014","130"
"Crops and livestock products","Ghana","Area harvested","Cucumbers and gherkins","2015","10"
"Crops and livestock products","Ghana","Yield","Cucumbers and gherkins","2015","13351.4"
"Crops and livestock products","Ghana","Production","Cucumbers and gherkins","2015","134.4"
"Crops and livestock products","Ghana","Area harvested","Cucumbers and gherkins","2016","10"
"Crops and livestock products","Ghana","Yield","Cucumbers and gherkins","2016","12877.5"
"Crops and livestock products","Ghana","Production","Cucumbers and gherkins","2016","130.31"
"Crops and livestock products","Ghana","Area harvested","Cucumbers and gherkins","2017","10"
"Crops and livestock products","Ghana","Yield","Cucumbers and gherkins","2017","13255.4"
"Crops and livestock products","Ghana","Production","Cucumbers and gherkins","2017","127.74"
"Crops and livestock products","Ghana","Area harvested","Cucumbers and gherkins","2018","10"
"Crops and livestock products","Ghana","Yield","Cucumbers and gherkins","2018","12813.7"
"Crops and livestock products","Ghana","Production","Cucumbers and gherkins","2018","127.38"
"Crops and livestock products","Ghana","Area harvested","Cucumbers and gherkins","2019","10"
"Crops and livestock products","Ghana","Yield","Cucumbers and gherkins","2019","13236"
"Crops and livestock products","Ghana","Production","Cucumbers and gherkins","2019","127.8"
"Crops and livestock products","Ghana","Area harvested","Cucumbers and gherkins","2020","9"
"Crops and livestock products","Ghana","Yield","Cucumbers and gherkins","2020","13579.1"
"Crops and livestock products","Ghana","Production","Cucumbers and gherkins","2020","128.7"
"Crops and livestock products","Ghana","Area harvested","Cucumbers and gherkins","2021","9"
"Crops and livestock products","Ghana","Yield","Cucumbers and gherkins","2021","13907.2"
"Crops and livestock products","Ghana","Production","Cucumbers and gherkins","2021","130.74"
"Crops and livestock products","Ghana","Area harvested","Cucumbers and gherkins","2022","10"
"Crops and livestock products","Ghana","Yield","Cucumbers and gherkins","2022","13788.7"
"Crops and livestock products","Ghana","Production","Cucumbers and gherkins","2022","131.15"
"Crops and livestock products","Ghana","Area harvested","Cucumbers and gherkins","2023","9"
"Crops and livestock products","Ghana","Yield","Cucumbers and gherkins","2023","14210.4"
"Crops and livestock products","Ghana","Production","Cucumbers and gherkins","2023","131.57"
"Crops and livestock products","Ghana","Area harvested","Cucumbers and gherkins","2024","9"
"Crops and livestock products","Ghana","Yield","Cucumbers and gherkins","2024","14381"
"Crops and livestock products","Ghana","Production","Cucumbers and gherkins","2024","131.98"
"Crops and livestock products","Ghana","Area harvested","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2012","32"
"Crops and livestock products","Ghana","Yield","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2012","5312.5"
"Crops and livestock products","Ghana","Production","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2012","170"
"Crops and livestock products","Ghana","Area harvested","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2013","32"
"Crops and livestock products","Ghana","Yield","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2013","5312.5"
"Crops and livestock products","Ghana","Production","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2013","170"
"Crops and livestock products","Ghana","Area harvested","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2014","32"
"Crops and livestock products","Ghana","Yield","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2014","5305.7"
"Crops and livestock products","Ghana","Production","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2014","170.7"
"Crops and livestock products","Ghana","Area harvested","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2015","34"
"Crops and livestock products","Ghana","Yield","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2015","5328.7"
"Crops and livestock products","Ghana","Production","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2015","179.9"
"Crops and livestock products","Ghana","Area harvested","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2016","33"
"Crops and livestock products","Ghana","Yield","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2016","5315.8"
"Crops and livestock products","Ghana","Production","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2016","173.53"
"Crops and livestock products","Ghana","Area harvested","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2017","33"
"Crops and livestock products","Ghana","Yield","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2017","5329.8"
"Crops and livestock products","Ghana","Production","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2017","174.31"
"Crops and livestock products","Ghana","Area harvested","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2018","33"
"Crops and livestock products","Ghana","Yield","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2018","5354.9"
"Crops and livestock products","Ghana","Production","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2018","178.71"
"Crops and livestock products","Ghana","Area harvested","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2019","34"
"Crops and livestock products","Ghana","Yield","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2019","5108.8"
"Crops and livestock products","Ghana","Production","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2019","175.52"
"Crops and livestock products","Ghana","Area harvested","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2020","35"
"Crops and livestock products","Ghana","Yield","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2020","5139.9"
"Crops and livestock products","Ghana","Production","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2020","177.93"
"Crops and livestock products","Ghana","Area harvested","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2021","34"
"Crops and livestock products","Ghana","Yield","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2021","5199.6"
"Crops and livestock products","Ghana","Production","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2021","177.38"
"Crops and livestock products","Ghana","Area harvested","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2022","34"
"Crops and livestock products","Ghana","Yield","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2022","5149.3"
"Crops and livestock products","Ghana","Production","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2022","176.94"
"Crops and livestock products","Ghana","Area harvested","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2023","34"
"Crops and livestock products","Ghana","Yield","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2023","5162.8"
"Crops and livestock products","Ghana","Production","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2023","177.42"
"Crops and livestock products","Ghana","Area harvested","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2024","34"
"Crops and livestock products","Ghana","Yield","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2024","5170.5"
"Crops and livestock products","Ghana","Production","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2024","177.25"
"Crops and livestock products","Ghana","Area harvested","Eggplants (aubergines)","2012","6000"
"Crops and livestock products","Ghana","Yield","Eggplants (aubergines)","2012","7666.7"
"Crops and livestock products","Ghana","Production","Eggplants (aubergines)","2012","46000"
"Crops and livestock products","Ghana","Area harvested","Eggplants (aubergines)","2013","6200"
"Crops and livestock products","Ghana","Yield","Eggplants (aubergines)","2013","7900"
"Crops and livestock products","Ghana","Production","Eggplants (aubergines)","2013","48980"
"Crops and livestock products","Ghana","Area harvested","Eggplants (aubergines)","2014","6330"
"Crops and livestock products","Ghana","Yield","Eggplants (aubergines)","2014","8100"
"Crops and livestock products","Ghana","Production","Eggplants (aubergines)","2014","51273"
"Crops and livestock products","Ghana","Area harvested","Eggplants (aubergines)","2015","6330"
"Crops and livestock products","Ghana","Yield","Eggplants (aubergines)","2015","8100"
"Crops and livestock products","Ghana","Production","Eggplants (aubergines)","2015","51273"
"Crops and livestock products","Ghana","Area harvested","Eggplants (aubergines)","2016","6330"
"Crops and livestock products","Ghana","Yield","Eggplants (aubergines)","2016","8100"
"Crops and livestock products","Ghana","Production","Eggplants (aubergines)","2016","51273"
"Crops and livestock products","Ghana","Area harvested","Eggplants (aubergines)","2017","6328"
"Crops and livestock products","Ghana","Yield","Eggplants (aubergines)","2017","8116"
"Crops and livestock products","Ghana","Production","Eggplants (aubergines)","2017","51358.51"
"Crops and livestock products","Ghana","Area harvested","Eggplants (aubergines)","2018","6321"
"Crops and livestock products","Ghana","Yield","Eggplants (aubergines)","2018","8130.3"
"Crops and livestock products","Ghana","Production","Eggplants (aubergines)","2018","51393.88"
"Crops and livestock products","Ghana","Area harvested","Eggplants (aubergines)","2019","6310"
"Crops and livestock products","Ghana","Yield","Eggplants (aubergines)","2019","8149.3"
"Crops and livestock products","Ghana","Production","Eggplants (aubergines)","2019","51420.42"
"Crops and livestock products","Ghana","Area harvested","Eggplants (aubergines)","2020","6294"
"Crops and livestock products","Ghana","Yield","Eggplants (aubergines)","2020","8170.6"
"Crops and livestock products","Ghana","Production","Eggplants (aubergines)","2020","51427.58"
"Crops and livestock products","Ghana","Area harvested","Eggplants (aubergines)","2021","6410"
"Crops and livestock products","Ghana","Yield","Eggplants (aubergines)","2021","8379.7"
"Crops and livestock products","Ghana","Production","Eggplants (aubergines)","2021","53713.03"
"Crops and livestock products","Ghana","Area harvested","Eggplants (aubergines)","2022","6409"
"Crops and livestock products","Ghana","Yield","Eggplants (aubergines)","2022","8369.4"
"Crops and livestock products","Ghana","Production","Eggplants (aubergines)","2022","53640.81"
"Crops and livestock products","Ghana","Area harvested","Eggplants (aubergines)","2023","6431"
"Crops and livestock products","Ghana","Yield","Eggplants (aubergines)","2023","8229.4"
"Crops and livestock products","Ghana","Production","Eggplants (aubergines)","2023","52927.14"
"Crops and livestock products","Ghana","Area harvested","Eggplants (aubergines)","2024","6461"
"Crops and livestock products","Ghana","Yield","Eggplants (aubergines)","2024","8268.7"
"Crops and livestock products","Ghana","Production","Eggplants (aubergines)","2024","53426.99"
"Crops and livestock products","Ghana","Area harvested","Ginger, raw","2012","77"
"Crops and livestock products","Ghana","Yield","Ginger, raw","2012","1166.3"
"Crops and livestock products","Ghana","Production","Ginger, raw","2012","90"
"Crops and livestock products","Ghana","Area harvested","Ginger, raw","2013","79"
"Crops and livestock products","Ghana","Yield","Ginger, raw","2013","1136.2"
"Crops and livestock products","Ghana","Production","Ginger, raw","2013","90.3"
"Crops and livestock products","Ghana","Area harvested","Ginger, raw","2014","79"
"Crops and livestock products","Ghana","Yield","Ginger, raw","2014","1157.8"
"Crops and livestock products","Ghana","Production","Ginger, raw","2014","91.27"
"Crops and livestock products","Ghana","Area harvested","Ginger, raw","2015","80"
"Crops and livestock products","Ghana","Yield","Ginger, raw","2015","1180.7"
"Crops and livestock products","Ghana","Production","Ginger, raw","2015","94.02"
"Crops and livestock products","Ghana","Area harvested","Ginger, raw","2016","81"
"Crops and livestock products","Ghana","Yield","Ginger, raw","2016","1186.1"
"Crops and livestock products","Ghana","Production","Ginger, raw","2016","96.27"
"Crops and livestock products","Ghana","Area harvested","Ginger, raw","2017","83"
"Crops and livestock products","Ghana","Yield","Ginger, raw","2017","1128.4"
"Crops and livestock products","Ghana","Production","Ginger, raw","2017","93.85"
"Crops and livestock products","Ghana","Area harvested","Ginger, raw","2018","84"
"Crops and livestock products","Ghana","Yield","Ginger, raw","2018","1151"
"Crops and livestock products","Ghana","Production","Ginger, raw","2018","97.16"
"Crops and livestock products","Ghana","Area harvested","Ginger, raw","2019","86"
"Crops and livestock products","Ghana","Yield","Ginger, raw","2019","1109.9"
"Crops and livestock products","Ghana","Production","Ginger, raw","2019","95.76"
"Crops and livestock products","Ghana","Area harvested","Ginger, raw","2020","85"
"Crops and livestock products","Ghana","Yield","Ginger, raw","2020","1163.3"
"Crops and livestock products","Ghana","Production","Ginger, raw","2020","98.44"
"Crops and livestock products","Ghana","Area harvested","Ginger, raw","2021","85"
"Crops and livestock products","Ghana","Yield","Ginger, raw","2021","1141.2"
"Crops and livestock products","Ghana","Production","Ginger, raw","2021","97.12"
"Crops and livestock products","Ghana","Area harvested","Ginger, raw","2022","85"
"Crops and livestock products","Ghana","Yield","Ginger, raw","2022","1138"
"Crops and livestock products","Ghana","Production","Ginger, raw","2022","97.11"
"Crops and livestock products","Ghana","Area harvested","Ginger, raw","2023","85"
"Crops and livestock products","Ghana","Yield","Ginger, raw","2023","1147.4"
"Crops and livestock products","Ghana","Production","Ginger, raw","2023","97.55"
"Crops and livestock products","Ghana","Area harvested","Ginger, raw","2024","85"
"Crops and livestock products","Ghana","Yield","Ginger, raw","2024","1142.2"
"Crops and livestock products","Ghana","Production","Ginger, raw","2024","97.26"
"Crops and livestock products","Ghana","Area harvested","Groundnuts, excluding shelled","2012","345186"
"Crops and livestock products","Ghana","Yield","Groundnuts, excluding shelled","2012","1376.2"
"Crops and livestock products","Ghana","Production","Groundnuts, excluding shelled","2012","475056"
"Crops and livestock products","Ghana","Area harvested","Groundnuts, excluding shelled","2013","328940"
"Crops and livestock products","Ghana","Yield","Groundnuts, excluding shelled","2013","1242.8"
"Crops and livestock products","Ghana","Production","Groundnuts, excluding shelled","2013","408814"
"Crops and livestock products","Ghana","Area harvested","Groundnuts, excluding shelled","2014","334000"
"Crops and livestock products","Ghana","Yield","Groundnuts, excluding shelled","2014","1276.3"
"Crops and livestock products","Ghana","Production","Groundnuts, excluding shelled","2014","426280"
"Crops and livestock products","Ghana","Area harvested","Groundnuts, excluding shelled","2015","336450"
"Crops and livestock products","Ghana","Yield","Groundnuts, excluding shelled","2015","1240"
"Crops and livestock products","Ghana","Production","Groundnuts, excluding shelled","2015","417198.54"
"Crops and livestock products","Ghana","Area harvested","Groundnuts, excluding shelled","2016","336450"
"Crops and livestock products","Ghana","Yield","Groundnuts, excluding shelled","2016","1265.6"
"Crops and livestock products","Ghana","Production","Groundnuts, excluding shelled","2016","425824.82"
"Crops and livestock products","Ghana","Area harvested","Groundnuts, excluding shelled","2017","338000"
"Crops and livestock products","Ghana","Yield","Groundnuts, excluding shelled","2017","1283.3"
"Crops and livestock products","Ghana","Production","Groundnuts, excluding shelled","2017","433771.91"
"Crops and livestock products","Ghana","Area harvested","Groundnuts, excluding shelled","2018","320000"
"Crops and livestock products","Ghana","Yield","Groundnuts, excluding shelled","2018","1628.2"
"Crops and livestock products","Ghana","Production","Groundnuts, excluding shelled","2018","521032.08"
"Crops and livestock products","Ghana","Area harvested","Groundnuts, excluding shelled","2019","337000"
"Crops and livestock products","Ghana","Yield","Groundnuts, excluding shelled","2019","1670.6"
"Crops and livestock products","Ghana","Production","Groundnuts, excluding shelled","2019","563000"
"Crops and livestock products","Ghana","Area harvested","Groundnuts, excluding shelled","2020","337000"
"Crops and livestock products","Ghana","Yield","Groundnuts, excluding shelled","2020","1676.6"
"Crops and livestock products","Ghana","Production","Groundnuts, excluding shelled","2020","565000"
"Crops and livestock products","Ghana","Area harvested","Groundnuts, excluding shelled","2021","273000"
"Crops and livestock products","Ghana","Yield","Groundnuts, excluding shelled","2021","1838.8"
"Crops and livestock products","Ghana","Production","Groundnuts, excluding shelled","2021","502000"
"Crops and livestock products","Ghana","Area harvested","Groundnuts, excluding shelled","2022","370000"
"Crops and livestock products","Ghana","Yield","Groundnuts, excluding shelled","2022","1651.4"
"Crops and livestock products","Ghana","Production","Groundnuts, excluding shelled","2022","611000"
"Crops and livestock products","Ghana","Area harvested","Groundnuts, excluding shelled","2023","370000"
"Crops and livestock products","Ghana","Yield","Groundnuts, excluding shelled","2023","1718.9"
"Crops and livestock products","Ghana","Production","Groundnuts, excluding shelled","2023","636000"
"Crops and livestock products","Ghana","Area harvested","Groundnuts, excluding shelled","2024","370000"
"Crops and livestock products","Ghana","Yield","Groundnuts, excluding shelled","2024","1689.2"
"Crops and livestock products","Ghana","Production","Groundnuts, excluding shelled","2024","625000"
"Crops and livestock products","Ghana","Area harvested","Karite nuts (sheanuts)","2012","30500"
"Crops and livestock products","Ghana","Yield","Karite nuts (sheanuts)","2012","1092.1"
"Crops and livestock products","Ghana","Production","Karite nuts (sheanuts)","2012","33310"
"Crops and livestock products","Ghana","Area harvested","Karite nuts (sheanuts)","2013","30500"
"Crops and livestock products","Ghana","Yield","Karite nuts (sheanuts)","2013","1102.6"
"Crops and livestock products","Ghana","Production","Karite nuts (sheanuts)","2013","33630"
"Crops and livestock products","Ghana","Area harvested","Karite nuts (sheanuts)","2014","31000"
"Crops and livestock products","Ghana","Yield","Karite nuts (sheanuts)","2014","1106.5"
"Crops and livestock products","Ghana","Production","Karite nuts (sheanuts)","2014","34300"
"Crops and livestock products","Ghana","Area harvested","Karite nuts (sheanuts)","2015","31470"
"Crops and livestock products","Ghana","Yield","Karite nuts (sheanuts)","2015","1089.9"
"Crops and livestock products","Ghana","Production","Karite nuts (sheanuts)","2015","34300"
"Crops and livestock products","Ghana","Area harvested","Karite nuts (sheanuts)","2016","33057"
"Crops and livestock products","Ghana","Yield","Karite nuts (sheanuts)","2016","1037.6"
"Crops and livestock products","Ghana","Production","Karite nuts (sheanuts)","2016","34300"
"Crops and livestock products","Ghana","Area harvested","Karite nuts (sheanuts)","2017","31842"
"Crops and livestock products","Ghana","Yield","Karite nuts (sheanuts)","2017","1060.9"
"Crops and livestock products","Ghana","Production","Karite nuts (sheanuts)","2017","33782.67"
"Crops and livestock products","Ghana","Area harvested","Karite nuts (sheanuts)","2018","31594"
"Crops and livestock products","Ghana","Yield","Karite nuts (sheanuts)","2018","1058.5"
"Crops and livestock products","Ghana","Production","Karite nuts (sheanuts)","2018","33442.38"
"Crops and livestock products","Ghana","Area harvested","Karite nuts (sheanuts)","2019","31572"
"Crops and livestock products","Ghana","Yield","Karite nuts (sheanuts)","2019","1052.8"
"Crops and livestock products","Ghana","Production","Karite nuts (sheanuts)","2019","33237.71"
"Crops and livestock products","Ghana","Area harvested","Karite nuts (sheanuts)","2020","31922"
"Crops and livestock products","Ghana","Yield","Karite nuts (sheanuts)","2020","1045.9"
"Crops and livestock products","Ghana","Production","Karite nuts (sheanuts)","2020","33386.55"
"Crops and livestock products","Ghana","Area harvested","Karite nuts (sheanuts)","2021","33028"
"Crops and livestock products","Ghana","Yield","Karite nuts (sheanuts)","2021","1041.5"
"Crops and livestock products","Ghana","Production","Karite nuts (sheanuts)","2021","34400.12"
"Crops and livestock products","Ghana","Area harvested","Karite nuts (sheanuts)","2022","33256"
"Crops and livestock products","Ghana","Yield","Karite nuts (sheanuts)","2022","1040.4"
"Crops and livestock products","Ghana","Production","Karite nuts (sheanuts)","2022","34600.18"
"Crops and livestock products","Ghana","Area harvested","Karite nuts (sheanuts)","2023","32735"
"Crops and livestock products","Ghana","Yield","Karite nuts (sheanuts)","2023","1062"
"Crops and livestock products","Ghana","Production","Karite nuts (sheanuts)","2023","34764"
"Crops and livestock products","Ghana","Area harvested","Karite nuts (sheanuts)","2024","33006"
"Crops and livestock products","Ghana","Yield","Karite nuts (sheanuts)","2024","1058.2"
"Crops and livestock products","Ghana","Production","Karite nuts (sheanuts)","2024","34927.82"
"Crops and livestock products","Ghana","Area harvested","Kola nuts","2012","86015"
"Crops and livestock products","Ghana","Yield","Kola nuts","2012","280.8"
"Crops and livestock products","Ghana","Production","Kola nuts","2012","24148.81"
"Crops and livestock products","Ghana","Area harvested","Kola nuts","2013","82132"
"Crops and livestock products","Ghana","Yield","Kola nuts","2013","280.8"
"Crops and livestock products","Ghana","Production","Kola nuts","2013","23061.51"
"Crops and livestock products","Ghana","Area harvested","Kola nuts","2014","80572"
"Crops and livestock products","Ghana","Yield","Kola nuts","2014","282.3"
"Crops and livestock products","Ghana","Production","Kola nuts","2014","22741.36"
